Algorithm,InputSize,Type,AverageTime
BubbleSort,10,random,8.38333e-07s
MergeSort,10,random,3.09967e-06s
QuickSort,10,random,5.85333e-07s
BubbleSort,10,sorted,3.43667e-07s
MergeSort,10,sorted,2.53133e-06s
QuickSort,10,sorted,1.01067e-06s
BubbleSort,10,reverse,8.82333e-07s
MergeSort,10,reverse,2.51033e-06s
QuickSort,10,reverse,7.24333e-07s
BubbleSort,1000,random,0.00689557s
MergeSort,1000,random,0.000430956s
QuickSort,1000,random,0.00017465s
BubbleSort,1000,sorted,0.00228054s
MergeSort,1000,sorted,0.000356647s
QuickSort,1000,sorted,0.00688135s
BubbleSort,1000,reverse,0.00757002s
MergeSort,1000,reverse,0.000416656s
QuickSort,1000,reverse,0.00448687s
BubbleSort,10000,random,0.696608s
MergeSort,10000,random,0.00537519s
QuickSort,10000,random,0.00215895s
BubbleSort,10000,sorted,0.245528s
MergeSort,10000,sorted,0.00402343s
QuickSort,10000,sorted,0.471403s
BubbleSort,10000,reverse,0.787775s
MergeSort,10000,reverse,0.00424259s
QuickSort,10000,reverse,0.318238s
